id,Japanese,Math,English,Science,Sociology,Sum,,,
1,72,80,88,56,71,367,,,
2,53,88,62,70,44,317,,,
3,44,25,50,38,60,217,,,
4,29,34,43,24,38,168,,,
5,66,29,66,37,73,271,,,
6,51,52,43,72,65,283,,,
7,73,38,75,40,81,307,,,
8,69,71,52,63,70,325,,,
9,35,65,58,50,66,274,,,
10,42,28,46,29,44,189,,,
11,57,25,38,41,50,211,,,
12,55,30,40,32,45,202,,,
13,49,61,66,45,62,283,,,
14,73,95,81,85,77,411,,,
15,63,36,74,77,65,315,,,
16,50,41,60,67,53,271,,,
17,42,71,55,52,38,258,,,
18,57,55,53,46,52,263,,,
19,81,47,78,48,78,332,,,
20,66,45,49,40,63,263,,,
